Command,ProgramName,ExecutablePath
7-zip,7zFM.exe,"""C:\Program Files\7-Zip\7zFM.exe"""
acrobat reader,AcroRd32.exe,"""C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe"""
autodesk desktop app manager,AdAppMgrSvc.exe,"""C:\Program Files (x86)\Autodesk\Autodesk Desktop App\AdAppMgrSvc.exe"""
autocad 2021,acad.exe,"""C:\Program Files\Autodesk\AutoCAD 2021\acad.exe"""
autocad 2020,acad.exe,"""C:\Program Files\Autodesk\AutoCAD 2020\acad.exe"""
autocad 2019,acad.exe,"""C:\Program Files\Autodesk\AutoCAD 2019\acad.exe"""
autocad 2018,acad.exe,"""C:\Program Files\Autodesk\AutoCAD 2018\acad.exe"""
autocad 2017,acad.exe,"""C:\Program Files\Autodesk\AutoCAD 2017\acad.exe"""
audition,Adobe Audition CC.exe,"""C:\Program Files\Adobe\Adobe Audition CC 2019\Adobe Audition CC.exe"""
media encoder,Adobe Media Encoder.exe,"""C:\Program Files\Adobe\Adobe Media Encoder CC 2019\Adobe Media Encoder.exe"""
premiere pro,Adobe Premiere Pro.exe,"""C:\Program Files\Adobe\Adobe Premiere Pro CC 2019\Adobe Premiere Pro.exe"""
after effects,AfterFX.exe,"""C:\Program Files\Adobe\Adobe After Effects CC 2019\Support Files\AfterFX.exe"""
autodesk desktop app,AutodeskDesktopApp.exe,"""C:\Program Files (x86)\Autodesk\Autodesk Desktop App\AutodeskDesktopApp.exe"""
canon my design,BJMYDGN.EXE,"""C:\Program Files\Canon\MyPrinter\BJMyDgn.exe"""
canon my printer,BJMYPRT.EXE,"""C:\Program Files\Canon\MyPrinter\BJMyPrt.exe"""
ccleaner,ccleaner64.exe,"""C:\Program Files\CCleaner\CCleaner64.exe"""
chrome,chrome.exe,"""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"""
canon easy guide viewer,cmview.exe,"""C:\Program Files (x86)\Canon\IJ Manual\Easy Guide Viewer\cmview.exe"""
canon folder setting utility,cnfsuapp.exe,"""C:\Program Files (x86)\Canon\Quick Utility Toolbox\Folder Setting Utility\cnfsuapp.exe"""
canon network selector,LogInfo2.exe,"""C:\Program Files (x86)\Canon\IJ Network Scanner Selector EX2\CNMNSST2.exe"""
canon quick utility toolbox,cnqtbapp.exe,"""C:\Program Files (x86)\Canon\Quick Utility Toolbox\cnqtbapp.exe"""
canon network device setup utility,cnwidadr.exe,"""C:\Program Files (x86)\Canon\IJ Network Device Setup Utility\cnwidadr.exe"""
canon calibration tool,CNWZCT.EXE,"""C:\Program Files (x86)\Canon\Calibration Tool\CNWZCT.EXE"""
visual Studio Dev environment,devenv.exe,"""C:\Program Files (x86)\Microsoft Visual Studio\2019\Preview\common7\ide\devenv.exe"""
canon easy web print,ewpexdl.exe,"""C:\Program Files (x86)\Canon\Easy-WebPrint EX\ewpexdl.exe"""
excel,excel.exe,"""C:\Program Files\Microsoft Office\Root\Office16\EXCEL.EXE"""
filezilla,filezilla.exe,"""C:\Program Files\FileZilla FTP Client\filezilla.exe"""
python three point nine,idle3.9.exe,"""C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.240.0_x64__qbz5n2kfra8p0\idle3.9.exe"""
internet explorer diagnostics,IEDIAG.EXE,"""C:\Program Files\Internet Explorer\IEDIAGCMD.EXE"""
internet explorer diagnostics command,IEDIAGCMD.EXE,"""C:\Program Files\Internet Explorer\IEDIAGCMD.EXE"""
internet explorer diagnostics,IEXPLORE.EXE,"""C:\Program Files\Internet Explorer\IEXPLORE.EXE"""
illustrator,Illustrator.exe,"""C:\Program Files\Adobe\Adobe Illustrator CC 2015\Support Files\Contents\Windows\Illustrator.exe"""
itunes,iTunes.exe,"""C:\Program Files\WindowsApps\AppleInc.iTunes_12110.26.53016.0_x64__nzyj5cx40ttqa\iTunes.exe"""
license manager shell extension,licensemanagershellext.exe,"""C:\WINDOWS\System32\licensemanagershellext.exe"""
canon log info,LogInfo.EXE,"""C:\Program Files\Canon\MyPrinter\LogInfo.exe"""
math input tool,mip.exe,"""C:\Program Files\Common Files\Microsoft Shared\Ink\mip.exe"""
media player home cinema,mpc-hc64_nvo.exe,"""C:\Program Files (x86)\K-Lite Codec Pack\MPC-HC64\mpc-hc64_nvo.exe"""
media player home classic thirty two bit,mpc-hc_nvo.exe,"""C:\Program Files (x86)\K-Lite Codec Pack\MPC-HC\mpc-hc_nvo.exe"""
windows media player,mplayer2.exe,"""C:\Program Files (x86)\Windows Media Player\wmplayer.exe"""
access,MSACCESS.EXE,"""C:\Program Files\Microsoft Office\Root\Office16\MSACCESS.EXE"""
edge,msedge.exe,"""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"""
publisher,MSPUB.EXE,"""C:\Program Files\Microsoft Office\Root\Office16\MSPUB.EXE"""
outlook,OUTLOOK.EXE,"""C:\Program Files\Microsoft Office\Root\Office16\OUTLOOK.EXE"""
paint,mspaint.exe,"""C:\WINDOWS\System32\mspaint.exe"""
photoshop,Photoshop.exe,"""C:\Program Files\Adobe\Adobe Photoshop CC 2019\Photoshop.exe"""
powerpoint,powerpnt.exe,"""C:\Program Files\Microsoft Office\Root\Office16\POWERPNT.EXE"""
power shell,PowerShell.exe,"""C:\WINDOWS\system32\WindowsPowerShell\v1.0\PowerShell.exe"""
power shell seven,pwsh.exe,"""C:\Program Files\PowerShell\7\pwsh.exe"""
python 3.9,python3.9.exe,"""C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.240.0_x64__qbz5n2kfra8p0\python3.9.exe"""
,pythonw3.9.exe,"""C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.9_3.9.240.0_x64__qbz5n2kfra8p0\pythonw3.9.exe"""
canon scan utility,SCANUTILITY.exe,"""C:\Program Files (x86)\Canon\IJ Scan Utility\SCANUTILITY.exe"""
canon speed dial,sdutil2.exe,"""C:\Program Files (x86)\Canon\Speed Dial Utility 2\sdutil2.exe"""
skype,Skype.exe,"""C:\Program Files\WindowsApps\Microsoft.SkypeApp_15.66.77.0_x86__kzf8qxf38zg5c\Skype\Skype.exe"""
skype Server,SKYPESERVER.EXE,"""C:\Program Files\Microsoft Office\Root\Office16\SkypeSrv\SKYPESERVER.EXE"""
snipping tool,SnippingTool.exe,"""C:\WINDOWS\system32\SnippingTool.exe"""
microsoft tab tip,TabTip.exe,"""C:\Program Files\Common Files\microsoft shared\ink\TabTip.exe"""
lenovo system update,tvsu.exe,"""C:\Program Files (x86)\Lenovo\System Update\tvsu.exe"""
VLC,vlc.exe,"""C:\Program Files\VideoLAN\VLC\vlc.exe"""
vm ware player,vmplayer.exe,"""C:\Program Files (x86)\VMware\VMware Workstation\vmplayer.exe"""
vm ware,vmware.exe,"""C:\Program Files (x86)\VMware\VMware Workstation\vmware.exe"""
windows mail,wab.exe,"""C:\Program Files\Windows Mail\wab.exe"""
winrar,WinRAR.exe,"""C:\Program Files\WinRAR\WinRAR.exe"""
word,Winword.exe,"""C:\Program Files\Microsoft Office\Root\Office16\WINWORD.EXE"""
winzip,winzip.exe,"""C:\Program Files\WinZip\winzip64.exe"""
windows media player,wmplayer.exe,"""C:\Program Files (x86)\Windows Media Player\wmplayer.exe"""
wordpad,WORDPAD.EXE,"""C:\Program Files\Windows NT\Accessories\WORDPAD.EXE"""
write,WRITE.EXE,"""C:\Program Files\Windows NT\Accessories\WORDPAD.EXE"""
notepad,notepad.exe,"""C:\WINDOWS\system32\notepad.exe"""
command prompt,cmd.exe,"""C:\WINDOWS\System32\cmd.exe"""
computer management,compmgmt.msc,"""C:\WINDOWS\System32\compmgmt.msc"""
component services,comexp.msc,"""C:\WINDOWS\System32\comexp.msc"""
services for network file system,nfsmgmt.msc,"""C:\WINDOWS\System32\nfsmgmt.msc"""
local group policy editor,gpedit.msc,"""C:\WINDOWS\System32\gpedit.msc"""
resultants set of policy,rsop.msc,"""C:\WINDOWS\System32\rsop.msc"""
local security policy,secpol.msc,"""C:\WINDOWS\System32\secpol.msc"""
windows management instrumentation,WmiMgmt.msc,"""C:\WINDOWS\System32\WmiMgmt.msc"""
disk management,diskmgmt.msc,"""C:\WINDOWS\System32\diskmgmt.msc"""
local users and groups,lusrmgr.msc,"""C:\WINDOWS\System32\lusrmgr.msc"""
task scheduler,taskschd.msc,"""C:\WINDOWS\System32\taskschd.msc"""
device manager,devmgmt.msc,"""C:\WINDOWS\System32\devmgmt.msc"""
start menu and taskbar,DevModeRunAsUserConfig.msc,"""C:\WINDOWS\System32\DevModeRunAsUserConfig.msc"""
shared folders,fsmgmt.msc,"""C:\WINDOWS\System32\fsmgmt.msc"""
windows firewall,wf.msc,"""C:\WINDOWS\System32\wf.msc"""
trusted platform module,tpm.msc,"""C:\WINDOWS\System32\tpm.msc"""
local security policy,secpol.msc,"""C:\WINDOWS\System32\secpol.msc"""
