"InstalledOn","Caption","Description","InstallDate","Name","Status","CSName","FixComments","HotFixID","InstalledBy","ServicePackInEffect","PSComputerName"
"11/8/2020 12:00:00 AM","http://support.microsoft.com/?kbid=4580419","Update",,,,"LAPTOP-HD7OGIG6","","KB4580419","NT AUTHORITY\SYSTEM","",
"5/11/2020 12:00:00 AM","http://support.microsoft.com/?kbid=4537759","Security Update",,,,"LAPTOP-HD7OGIG6","","KB4537759","","",
"5/11/2020 12:00:00 AM","http://support.microsoft.com/?kbid=4557968","Security Update",,,,"LAPTOP-HD7OGIG6","","KB4557968","","",
"8/4/2020 12:00:00 AM","http://support.microsoft.com/?kbid=4561600","Security Update",,,,"LAPTOP-HD7OGIG6","","KB4561600","NT AUTHORITY\SYSTEM","",
"11/19/2020 12:00:00 AM","http://support.microsoft.com/?kbid=4562830","Update",,,,"LAPTOP-HD7OGIG6","","KB4562830","NT AUTHORITY\SYSTEM","",
"8/4/2020 12:00:00 AM","http://support.microsoft.com/?kbid=4566785","Security Update",,,,"LAPTOP-HD7OGIG6","","KB4566785","LAPTOP-HD7OGIG6\blain","",
"8/12/2020 12:00:00 AM","http://support.microsoft.com/?kbid=4570334","Security Update",,,,"LAPTOP-HD7OGIG6","","KB4570334","NT AUTHORITY\SYSTEM","",
"9/8/2020 12:00:00 AM","https://support.microsoft.com/help/4577266","Security Update",,,,"LAPTOP-HD7OGIG6","","KB4577266","NT AUTHORITY\SYSTEM","",
"10/14/2020 12:00:00 AM","https://support.microsoft.com/help/4580325","Security Update",,,,"LAPTOP-HD7OGIG6","","KB4580325","NT AUTHORITY\SYSTEM","",
"11/10/2020 12:00:00 AM","https://support.microsoft.com/help/4586864","Security Update",,,,"LAPTOP-HD7OGIG6","","KB4586864","NT AUTHORITY\SYSTEM","",
"11/11/2020 12:00:00 AM","https://support.microsoft.com/help/4586781","Security Update",,,,"LAPTOP-HD7OGIG6","","KB4586781","NT AUTHORITY\SYSTEM","",
