"Name","SI","Handles","VM","WS","PM","NPM","Path","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessName","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"AcWebBrowser","2","619","414146560","35790848","18374656","40896","C:\Program Files (x86)\Autodesk\Autodesk Desktop App\acwebbrowser\acwebbrowser.exe","System.Diagnostics.Process (AutodeskDesktopApp)","Autodesk","13.546875","2.0.5.100","2.0.5.100","Chromium host executable","Autodesk Browser Components","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","8868","8",,"False","11/30/2020 6:08:35 AM",,"11720",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","40896","40896","18374656","18374656","740408","740408","19787776","19787776","43986944","43986944","419389440","419389440","True","Normal","18374656","18374656","AcWebBrowser","255","2",,"System.Diagnostics.ProcessThreadCollection","619","414146560","414146560","False",,,,"35790848","35790848",,"System.Diagnostics.ProcessModule (acwebbrowser.exe)","00:00:05.8906250","00:00:13.5468750","00:00:07.6562500","0","","True",,
"AcWebBrowser","2","558","627097600","235085824","119955456","45728","C:\Program Files (x86)\Autodesk\Autodesk Desktop App\acwebbrowser\acwebbrowser.exe","System.Diagnostics.Process (AcWebBrowser)","Autodesk","80.8125","2.0.5.100","2.0.5.100","Chromium host executable","Autodesk Browser Components","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2612","8",,"False","11/30/2020 6:08:36 AM",,"25092",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","45728","45728","119955456","119955456","898264","898264","138547200","138547200","304005120","304005120","659738624","659738624","True","Normal","119955456","119955456","AcWebBrowser","255","2",,"System.Diagnostics.ProcessThreadCollection","558","627097600","627097600","False",,,,"235085824","235085824",,"System.Diagnostics.ProcessModule (acwebbrowser.exe)","00:00:05.2343750","00:01:20.8125000","00:01:15.5781250","0","","True",,
"AcWebBrowser","2","403","406503424","25640960","74346496","28320","C:\Program Files (x86)\Autodesk\Autodesk Desktop App\acwebbrowser\acwebbrowser.exe","System.Diagnostics.Process (AcWebBrowser)","Autodesk","5.453125","2.0.5.100","2.0.5.100","Chromium host executable","Autodesk Browser Components","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2388","8",,"False","11/30/2020 6:08:35 AM",,"25136",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","28320","28320","74346496","74346496","651336","651336","120852480","120852480","68481024","68481024","429187072","429187072","True","Normal","74346496","74346496","AcWebBrowser","255","2",,"System.Diagnostics.ProcessThreadCollection","403","406503424","406503424","False",,,,"25640960","25640960",,"System.Diagnostics.ProcessModule (acwebbrowser.exe)","00:00:01.9531250","00:00:05.4531250","00:00:03.5000000","0","","True",,
"AdAppMgrSvc","0","462","147451904","23384064","11857920","56768",,,,,,,,,"Process",,,"8",,,,,"7928",".",,,,"56768","56768","11857920","11857920","269616","269616","12439552","12439552","29859840","29859840","269647872","269647872",,,"11857920","11857920","AdAppMgrSvc",,"0",,"System.Diagnostics.ProcessThreadCollection","462","147451904","147451904","False",,,,"23384064","23384064",,,,,,"0","","True",,
"Adobe CEF Helper","2","465","339959808","54661120","41082880","46088","C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\HEX\Adobe CEF Helper.exe","System.Diagnostics.Process (Creative Cloud)","Adobe Inc.","571.125","4.9.0.504","4.9.0.504","Adobe CEF Helper","Adobe CEF Helper","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5956","8",,"False","11/30/2020 6:08:41 AM",,"1984",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","46088","46088","41082880","41082880","486008","486008","50044928","50044928","87904256","87904256","376229888","376229888","True","Normal","41082880","41082880","Adobe CEF Helper","255","2",,"System.Diagnostics.ProcessThreadCollection","465","339959808","339959808","False",,,,"54661120","54661120",,"System.Diagnostics.ProcessModule (Adobe CEF Helper.exe)","00:01:12.6406250","00:09:31.1250000","00:08:18.4843750","0","","True",,
"Adobe CEF Helper","2","448","356470784","48234496","42151936","42416","C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\HEX\Adobe CEF Helper.exe","System.Diagnostics.Process (Creative Cloud)","Adobe Inc.","34.015625","4.9.0.504","4.9.0.504","Adobe CEF Helper","Adobe CEF Helper","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","8408","8",,"False","11/30/2020 6:08:34 AM",,"18424",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","42416","42416","42151936","42151936","511472","511472","50851840","50851840","84094976","84094976","377769984","377769984","True","Normal","42151936","42151936","Adobe CEF Helper","255","2",,"System.Diagnostics.ProcessThreadCollection","448","356470784","356470784","False",,,,"48234496","48234496",,"System.Diagnostics.ProcessModule (Adobe CEF Helper.exe)","00:00:19.4218750","00:00:34.0156250","00:00:14.5937500","0","","True",,
"Adobe Desktop Service","2","960","687587328","74928128","229580800","116760","C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\ADS\Adobe Desktop Service.exe","System.Diagnostics.Process (Creative Cloud)","Adobe Inc.","88.140625","4.9.0.504","4.9.0.504","Creative Cloud","Adobe Creative Cloud","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6524","8",,"False","11/30/2020 6:08:35 AM",,"7036",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","116760","116760","229580800","229580800","725256","725256","421965824","421965824","393949184","393949184","790548480","790548480","True","Normal","229580800","229580800","Adobe Desktop Service","255","2",,"System.Diagnostics.ProcessThreadCollection","960","687587328","687587328","False",,,,"74928128","74928128",,"System.Diagnostics.ProcessModule (Adobe Desktop Service.exe)","00:00:41.8750000","00:01:28.1406250","00:00:46.2656250","198588","","True",,
"AdobeIPCBroker","2","230","87437312","11661312","4505600","19544","C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\IPCBox\AdobeIPCBroker.exe","System.Diagnostics.Process (Creative Cloud)","Adobe Systems Incorporated","30.859375","5.5.1.11","5.5.1.11","Adobe IPC Broker","Adobe IPC Broker","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5220","8",,"False","11/30/2020 6:08:32 AM",,"1780",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","19544","19544","4505600","4505600","137968","137968","4562944","4562944","12460032","12460032","90320896","90320896","True","Normal","4505600","4505600","AdobeIPCBroker","255","2",,"System.Diagnostics.ProcessThreadCollection","230","87437312","87437312","False",,,,"11661312","11661312",,"System.Diagnostics.ProcessModule (AdobeIPCBroker.exe)","00:00:04.9687500","00:00:30.8593750","00:00:25.8906250","0","","True",,
"AdobeUpdateService","0","206","61259776","8908800","2220032","14032",,,,,,,,,"Process",,,"8",,,,,"5108",".",,,,"14032","14032","2220032","2220032","107080","107080","2375680","2375680","9719808","9719808","65191936","65191936",,,"2220032","2220032","AdobeUpdateService",,"0",,"System.Diagnostics.ProcessThreadCollection","206","61259776","61259776","False",,,,"8908800","8908800",,,,,,"0","","True",,
"AdskLicensingService","0","186","884486144","13697024","10276864","20128",,,,,,,,,"Process",,,"8",,,,,"19064",".",,,,"20128","20128","10276864","10276864","79376","79376","16433152","16433152","19681280","19681280","884944896","884944896",,,"10276864","10276864","AdskLicensingService",,"0",,"System.Diagnostics.ProcessThreadCollection","186","884486144","884486144","False",,,,"13697024","13697024",,,,,,"0","","True",,
