"Caption","Description","InstallDate","Name","Status","CreationClassName","Started","StartMode","SystemCreationClassName","SystemName","AcceptPause","AcceptStop","DesktopInteract","DisplayName","ErrorControl","ExitCode","PathName","ServiceSpecificExitCode","ServiceType","StartName","State","TagId","CheckPoint","DelayedAutoStart","ProcessId","WaitHint","PSComputerName"
"Adobe Acrobat Update Service","Adobe Acrobat Updater keeps your Adobe software up to date.",,"AdobeARMservice","OK","Win32_Service","True","Auto","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","True","False","Adobe Acrobat Update Service","Ignore","0","""C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe""","0","Own Process","LocalSystem","Running","0","0","False","5100","0",
"AdobeUpdateService",,,"AdobeUpdateService","OK","Win32_Service","True","Auto","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","True","False","AdobeUpdateService","Normal","0","""C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\ElevationManager\AdobeUpdateService.exe""","0","Own Process","LocalSystem","Running","0","0","False","5108","0",
"AeroadminService",,,"AeroadminService","OK","Win32_Service","True","Auto","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","True","False","AeroadminService","Normal","0","""C:\Users\blain\OneDrive\Desktop\AeroAdmin.exe"" w -sid 1 ","0","Own Process","LocalSystem","Running","0","0","False","4128","0",
"Intel? SGX AESM","The system services management agent for Intel? Software Guard Extensions enabled applications.",,"AESMService","OK","Win32_Service","True","Auto","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","True","False","Intel? SGX AESM","Normal","0","C:\WINDOWS\System32\DriverStore\FileRepository\sgx_psw.inf_amd64_bff7913eb62bbf90\aesm_service.exe","0","Own Process","LocalSystem","Running","0","0","True","3844","0",
"Adobe Genuine Monitor Service","Adobe Genuine Monitor Service",,"AGMService","OK","Win32_Service","True","Auto","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","True","False","Adobe Genuine Monitor Service","Normal","0","""C:\Program Files (x86)\Common Files\Adobe\AdobeGCClient\AGMService.exe""","0","Own Process","LocalSystem","Running","0","0","False","4460","0",
"Adobe Genuine Software Integrity Service","Adobe Genuine Software Integrity Service",,"AGSService","OK","Win32_Service","True","Auto","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","True","False","Adobe Genuine Software Integrity Service","Normal","0","""C:\Program Files (x86)\Common Files\Adobe\AdobeGCClient\AGSService.exe""","0","Own Process","LocalSystem","Running","0","0","False","4468","0",
"AllJoyn Router Service","Routes AllJoyn messages for the local AllJoyn clients. If this service is stopped the AllJoyn clients that do not have their own bundled routers will be unable to run.",,"AJRouter","OK","Win32_Service","False","Manual","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","False","False","AllJoyn Router Service","Normal","0","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p","0","Share Process","NT AUTHORITY\LocalService","Stopped","0","0","False","0","0",
"Application Layer Gateway Service","Provides support for 3rd party protocol plug-ins for Internet Connection Sharing",,"ALG","OK","Win32_Service","False","Manual","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","False","False","Application Layer Gateway Service","Normal","1077","C:\WINDOWS\System32\alg.exe","0","Own Process","NT AUTHORITY\LocalService","Stopped","0","0","False","0","0",
"Application Identity","Determines and verifies the identity of an application. Disabling this service will prevent AppLocker from being enforced.",,"AppIDSvc","OK","Win32_Service","False","Manual","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","False","False","Application Identity","Normal","1077","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p","0","Share Process","NT Authority\LocalService","Stopped","0","0","False","0","0",
"Application Information","Facilitates the running of interactive applications with additional administrative privileges.  If this service is stopped, users will be unable to launch applications with the additional administrative privileges they may require to perform desired user tasks.",,"Appinfo","OK","Win32_Service","True","Manual","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","True","False","Application Information","Normal","0","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","0","Share Process","LocalSystem","Running","0","0","False","16116","0",
"Application Management","Processes installation, removal, and enumeration requests for software deployed through Group Policy. If the service is disabled, users will be unable to install, remove, or enumerate software deployed through Group Policy. If this service is disabled, any services that explicitly depend on it will fail to start.",,"AppMgmt","OK","Win32_Service","False","Manual","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","False","False","Application Management","Normal","1077","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","0","Share Process","LocalSystem","Stopped","0","0","False","0","0",
"App Readiness","Gets apps ready for use the first time a user signs in to this PC and when adding new apps.",,"AppReadiness","OK","Win32_Service","False","Manual","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","False","False","App Readiness","Normal","1077","C:\WINDOWS\System32\svchost.exe -k AppReadiness -p","0","Share Process","LocalSystem","Stopped","0","0","False","0","0",
"Microsoft App-V Client","Manages App-V users and virtual applications",,"AppVClient","OK","Win32_Service","False","Disabled","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","False","False","Microsoft App-V Client","Normal","1077","C:\WINDOWS\system32\AppVClient.exe","0","Own Process","LocalSystem","Stopped","0","0","False","0","0",
"AppX Deployment Service (AppXSVC)","Provides infrastructure support for deploying Store applications. This service is started on demand and if disabled Store applications will not be deployed to the system, and may not function properly.",,"AppXSvc","OK","Win32_Service","True","Manual","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","True","False","AppX Deployment Service (AppXSVC)","Normal","0","C:\WINDOWS\system32\svchost.exe -k wsappx -p","0","Share Process","LocalSystem","Running","0","0","False","22824","0",
"ASP.NET State Service","Provides support for out-of-process session states for ASP.NET. If this service is stopped, out-of-process requests will not be processed. If this service is disabled, any services that explicitly depend on it will fail to start.",,"aspnet_state","OK","Win32_Service","False","Manual","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","False","False","ASP.NET State Service","Normal","1077","C:\WINDOWS\Microsoft.NET\Framework64\v4.0.30319\aspnet_state.exe","0","Own Process","NT AUTHORITY\NetworkService","Stopped","0","0","False","0","0",
"AssignedAccessManager Service","AssignedAccessManager Service supports kiosk experience in Windows.",,"AssignedAccessManagerSvc","OK","Win32_Service","False","Manual","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","False","False","AssignedAccessManager Service","Normal","1077","C:\WINDOWS\system32\svchost.exe -k AssignedAccessManagerSvc","0","Share Process","LocalSystem","Stopped","0","0","False","0","0",
"Windows Audio Endpoint Builder","Manages audio devices for the Windows Audio service.  If this service is stopped, audio devices and effects will not function properly.  If this service is disabled, any services that explicitly depend on it will fail to start",,"AudioEndpointBuilder","OK","Win32_Service","True","Auto","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","True","False","Windows Audio Endpoint Builder","Normal","0","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p","0","Share Process","LocalSystem","Running","0","0","False","3116","0",
"Windows Audio","Manages audio for Windows-based programs.  If this service is stopped, audio devices and effects will not function properly.  If this service is disabled, any services that explicitly depend on it will fail to start",,"Audiosrv","OK","Win32_Service","True","Auto","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","True","False","Windows Audio","Normal","0","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p","0","Own Process","NT AUTHORITY\LocalService","Running","0","0","False","3208","0",
"Cellular Time","This service sets time based on NITZ messages from a Mobile Network",,"autotimesvc","OK","Win32_Service","False","Manual","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","False","False","Cellular Time","Normal","1077","C:\WINDOWS\system32\svchost.exe -k autoTimeSvc","0","Own Process","NT AUTHORITY\LocalService","Stopped","0","0","False","0","0",
"ActiveX Installer (AxInstSV)","Provides User Account Control validation for the installation of ActiveX controls from the Internet and enables management of ActiveX control installation based on Group Policy settings. This service is started on demand and if disabled the installation of ActiveX controls will behave according to default browser settings.",,"AxInstSV","OK","Win32_Service","False","Manual","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","False","False","ActiveX Installer (AxInstSV)","Normal","1077","C:\WINDOWS\system32\svchost.exe -k AxInstSVGroup","0","Share Process","LocalSystem","Stopped","0","0","False","0","0",
"BitLocker Drive Encryption Service","BDESVC hosts the BitLocker Drive Encryption service. BitLocker Drive Encryption provides secure startup for the operating system, as well as full volume encryption for OS, fixed or removable volumes. This service allows BitLocker to prompt users for various actions related to their volumes when mounted, and unlocks volumes automatically without user interaction. Additionally, it stores recovery information to Active Directory, if available, and, if necessary, ensures the most recent recovery certificates are used.  Stopping or disabling the service would prevent users from leveraging this functionality.",,"BDESVC","OK","Win32_Service","True","Manual","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","True","False","BitLocker Drive Encryption Service","Normal","0","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","0","Share Process","localSystem","Running","0","0","False","1816","0",
"bdredline",,,"bdredline","OK","Win32_Service","True","Auto","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","False","False","bdredline","Normal","0","""C:\Program Files\Bitdefender Antivirus Free\bdredline.exe""","0","Own Process","LocalSystem","Running","0","0","False","4520","0",
"BattlEye Service",,,"BEService","OK","Win32_Service","False","Manual","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","False","False","BattlEye Service","Normal","1077","""C:\Program Files (x86)\Common Files\BattlEye\BEService.exe""","0","Own Process","LocalSystem","Stopped","0","0","False","0","0",
"Base Filtering Engine","The Base Filtering Engine (BFE) is a service that manages firewall and Internet Protocol security (IPsec) policies and implements user mode filtering. Stopping or disabling the BFE service will significantly reduce the security of the system. It will also result in unpredictable behavior in IPsec management and firewall applications.",,"BFE","OK","Win32_Service","True","Auto","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","True","False","Base Filtering Engine","Normal","0","C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p","0","Share Process","NT AUTHORITY\LocalService","Running","0","0","False","4052","0",
"Background Intelligent Transfer Service","Transfers files in the background using idle network bandwidth. If the service is disabled, then any applications that depend on BITS, such as Windows Update or MSN Explorer, will be unable to automatically download programs and other information.",,"BITS","OK","Win32_Service","False","Manual","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","False","False","Background Intelligent Transfer Service","Normal","0","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","0","Share Process","LocalSystem","Stopped","0","0","True","0","0",
"Bonjour Service","Enables hardware devices and software services to automatically configure themselves on the network and advertise their presence.",,"Bonjour Service","OK","Win32_Service","True","Auto","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","True","False","Bonjour Service","Normal","0","""C:\Program Files\Bonjour\mDNSResponder.exe""","0","Own Process","LocalSystem","Running","0","0","False","4700","0",
"Background Tasks Infrastructure Service","Windows infrastructure service that controls which background tasks can run on the system.",,"BrokerInfrastructure","OK","Win32_Service","True","Auto","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","False","False","Background Tasks Infrastructure Service","Normal","0","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p","0","Share Process","LocalSystem","Running","0","0","False","1236","0",
"Bluetooth Audio Gateway Service","Service supporting the audio gateway role of the Bluetooth Handsfree Profile.",,"BTAGService","OK","Win32_Service","False","Manual","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","False","False","Bluetooth Audio Gateway Service","Normal","1077","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted","0","Share Process","NT AUTHORITY\LocalService","Stopped","0","0","False","0","0",
"AVCTP service","This is Audio Video Control Transport Protocol service",,"BthAvctpSvc","OK","Win32_Service","True","Manual","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","True","False","AVCTP service","Normal","0","C:\WINDOWS\system32\svchost.exe -k LocalService -p","0","Share Process","NT AUTHORITY\LocalService","Running","0","0","False","16800","0",
"Bluetooth Support Service","The Bluetooth service supports discovery and association of remote Bluetooth devices.  Stopping or disabling this service may cause already installed Bluetooth devices to fail to operate properly and prevent new devices from being discovered or associated.",,"bthserv","OK","Win32_Service","False","Manual","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","False","False","Bluetooth Support Service","Normal","1077","C:\WINDOWS\system32\svchost.exe -k LocalService -p","0","Share Process","NT AUTHORITY\LocalService","Stopped","0","0","False","0","0",
"Capability Access Manager Service","Provides facilities for managing UWP apps access to app capabilities as well as checking an app's access to specific app capabilities",,"camsvc","OK","Win32_Service","True","Manual","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","True","False","Capability Access Manager Service","Normal","0","C:\WINDOWS\system32\svchost.exe -k appmodel -p","0","Share Process","LocalSystem","Running","0","0","False","2984","0",
"CCleaner Browser Update Service (ccleaner)","Keeps your Piriform software up to date. If this service is disabled or stopped, your Piriform software will not be kept up to date, meaning security vulnerabilities that may arise cannot be fixed and features may not work. This service uninstalls itself when there is no Piriform software using it.",,"ccleaner","OK","Win32_Service","False","Auto","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","False","False","CCleaner Browser Update Service (ccleaner)","Normal","0","""C:\Program Files (x86)\CCleaner Browser\Update\CCleanerBrowserUpdate.exe"" /svc","0","Own Process","LocalSystem","Stopped","0","0","True","0","0",
"CCleaner Browser Elevation Service (CCleanerBrowserElevationService)",,,"CCleanerBrowserElevationService","OK","Win32_Service","False","Manual","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","False","False","CCleaner Browser Elevation Service (CCleanerBrowserElevationService)","Normal","0","""C:\Program Files (x86)\CCleaner Browser\Application\86.1.6938.201\elevation_service.exe""","0","Own Process","LocalSystem","Stopped","0","0","False","0","0",
"CCleaner Browser Update Service (ccleanerm)","Keeps your Piriform software up to date. If this service is disabled or stopped, your Piriform software will not be kept up to date, meaning security vulnerabilities that may arise cannot be fixed and features may not work. This service uninstalls itself when there is no Piriform software using it.",,"ccleanerm","OK","Win32_Service","False","Manual","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","False","False","CCleaner Browser Update Service (ccleanerm)","Normal","1077","""C:\Program Files (x86)\CCleaner Browser\Update\CCleanerBrowserUpdate.exe"" /medsvc","0","Own Process","LocalSystem","Stopped","0","0","True","0","0",
"Connected Devices Platform Service","This service is used for Connected Devices Platform scenarios",,"CDPSvc","OK","Win32_Service","True","Auto","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","True","False","Connected Devices Platform Service","Normal","0","C:\WINDOWS\system32\svchost.exe -k LocalService -p","0","Share Process","NT AUTHORITY\LocalService","Running","0","0","True","4180","0",
"Certificate Propagation","Copies user certificates and root certificates from smart cards into the current user's certificate store, detects when a smart card is inserted into a smart card reader, and, if needed, installs the smart card Plug and Play minidriver.",,"CertPropSvc","OK","Win32_Service","True","Auto","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","True","False","Certificate Propagation","Normal","0","C:\WINDOWS\system32\svchost.exe -k netsvcs","0","Share Process","LocalSystem","Running","0","0","False","2160","0",
"Microsoft Office Click-to-Run Service","?Manages resource coordination, background streaming, and system integration of Microsoft Office products and their related updates. This service is required to run during the use of any Microsoft Office program, during initial streaming installation and all subsequent updates.?",,"ClickToRunSvc","OK","Win32_Service","True","Auto","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","True","False","Microsoft Office Click-to-Run Service","Normal","0","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" /service","0","Own Process","LocalSystem","Running","0","0","False","4760","0",
"Client License Service (ClipSVC)","Provides infrastructure support for the Microsoft Store. This service is started on demand and if disabled applications bought using Windows Store will not behave correctly.",,"ClipSVC","OK","Win32_Service","True","Manual","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","True","False","Client License Service (ClipSVC)","Normal","0","C:\WINDOWS\System32\svchost.exe -k wsappx -p","0","Share Process","LocalSystem","Running","0","0","False","29216","0",
"COM+ System Application","Manages the configuration and tracking of Component Object Model (COM)+-based components. If the service is stopped, most COM+-based components will not function properly. If this service is disabled, any services that explicitly depend on it will fail to start.",,"COMSysApp","OK","Win32_Service","True","Manual","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","True","False","COM+ System Application","Normal","0","C:\WINDOWS\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}","0","Own Process","LocalSystem","Running","0","0","False","19452","0",
"CoreMessaging","Manages communication between system components.",,"CoreMessagingRegistrar","OK","Win32_Service","True","Auto","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","False","False","CoreMessaging","Normal","0","C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetwork -p","0","Share Process","NT AUTHORITY\LocalService","Running","0","0","False","1956","0",
"Intel(R) Content Protection HECI Service","Intel(R) Content Protection HECI Service - enables communication with the Content Protection FW",,"cphs","OK","Win32_Service","True","Manual","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","True","False","Intel(R) Content Protection HECI Service","Normal","0","C:\WINDOWS\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_b0f74f6cd9942800\IntelCpHeciSvc.exe","0","Own Process","LocalSystem","Running","0","0","False","7504","0",
"Intel(R) Content Protection HDCP Service","Intel(R) Content Protection HDCP Service - enables communication with Content Protection HDCP HW",,"cplspcon","OK","Win32_Service","True","Auto","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","True","False","Intel(R) Content Protection HDCP Service","Normal","0","C:\WINDOWS\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_b0f74f6cd9942800\IntelCpHDCPSvc.exe","0","Own Process","LocalSystem","Running","0","0","False","4788","0",
"Cryptographic Services","Provides three management services: Catalog Database Service, which confirms the signatures of Windows files and allows new programs to be installed; Protected Root Service, which adds and removes Trusted Root Certification Authority certificates from this computer; and Automatic Root Certificate Update Service, which retrieves root certificates from Windows Update and enable scenarios such as SSL. If this service is stopped, these management services will not function properly. If this service is disabled, any services that explicitly depend on it will fail to start.",,"CryptSvc","OK","Win32_Service","True","Auto","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","True","False","Cryptographic Services","Normal","0","C:\WINDOWS\system32\svchost.exe -k NetworkService -p","0","Share Process","NT Authority\NetworkService","Running","0","0","False","4508","0",
"Offline Files","The Offline Files service performs maintenance activities on the Offline Files cache, responds to user logon and logoff events, implements the internals of the public API, and dispatches interesting events to those interested in Offline Files activities and changes in cache state.",,"CscService","OK","Win32_Service","False","Manual","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","False","False","Offline Files","Normal","1077","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p","0","Share Process","LocalSystem","Stopped","0","0","False","0","0",
"Debug Diagnostic Service","Scriptable debug and diagnostic service used to troubleshoot crashes, hangs, memory leaks, heap corruption and performance issues",,"DbgSvc","OK","Win32_Service","True","Auto","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","True","False","Debug Diagnostic Service","Ignore","0","""C:\Program Files\DebugDiag\DbgSvc.exe""","0","Own Process","LocalSystem","Running","0","0","False","4552","0",
"DCOM Server Process Launcher","The DCOMLAUNCH service launches COM and DCOM servers in response to object activation requests. If this service is stopped or disabled, programs using COM or DCOM will not function properly. It is strongly recommended that you have the DCOMLAUNCH service running.",,"DcomLaunch","OK","Win32_Service","True","Auto","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","False","False","DCOM Server Process Launcher","Normal","0","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p","0","Share Process","LocalSystem","Running","0","0","False","1236","0",
"debugregsvc","Provides helper APIs to enable device discovery and debugging over the network",,"debugregsvc","OK","Win32_Service","False","Auto","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","False","False","debugregsvc","Normal","0","C:\WINDOWS\System32\svchost.exe -k DevToolsGroup","0","Own Process","LocalSystem","Stopped","0","0","False","0","0",
"Optimize drives","Helps the computer run more efficiently by optimizing files on storage drives.",,"defragsvc","OK","Win32_Service","False","Manual","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","False","False","Optimize drives","Normal","0","C:\WINDOWS\system32\svchost.exe -k defragsvc","0","Own Process","localSystem","Stopped","0","0","False","0","0",
"Developer Tools Service","Enables scenarios for remote UWP application deployment and debugging",,"DeveloperToolsService","OK","Win32_Service","False","Manual","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","False","False","Developer Tools Service","Normal","1077","C:\WINDOWS\System32\DeveloperToolsSvc.exe","0","Own Process","LocalSystem","Stopped","0","0","False","0","0",
"Device Association Service","Enables pairing between the system and wired or wireless devices.",,"DeviceAssociationService","OK","Win32_Service","True","Auto","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","True","False","Device Association Service","Normal","0","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","0","Share Process","LocalSystem","Running","0","0","False","5200","0",
"Device Install Service","Enables a computer to recognize and adapt to hardware changes with little or no user input. Stopping or disabling this service will result in system instability.",,"DeviceInstall","OK","Win32_Service","False","Manual","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","False","False","Device Install Service","Normal","1077","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p","0","Share Process","LocalSystem","Stopped","0","0","False","0","0",
"DevQuery Background Discovery Broker","Enables apps to discover devices with a backgroud task",,"DevQueryBroker","OK","Win32_Service","True","Manual","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","True","False","DevQuery Background Discovery Broker","Normal","0","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","0","Share Process","LocalSystem","Running","0","0","False","3528","0",
"DHCP Client","Registers and updates IP addresses and DNS records for this computer. If this service is stopped, this computer will not receive dynamic IP addresses and DNS updates. If this service is disabled, any services that explicitly depend on it will fail to start.",,"Dhcp","OK","Win32_Service","True","Auto","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","True","False","DHCP Client","Normal","0","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p","0","Share Process","NT Authority\LocalService","Running","0","0","False","2732","0",
"Microsoft (R) Diagnostics Hub Standard Collector Service","Diagnostics Hub Standard Collector Service. When running, this service collects real time ETW events and processes them.",,"diagnosticshub.standardcollector.service","OK","Win32_Service","False","Manual","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","False","False","Microsoft (R) Diagnostics Hub Standard Collector Service","Normal","1077","C:\WINDOWS\system32\DiagSvcs\DiagnosticsHub.StandardCollector.Service.exe","0","Own Process","LocalSystem","Stopped","0","0","False","0","0",
"Diagnostic Execution Service","Executes diagnostic actions for troubleshooting support",,"diagsvc","OK","Win32_Service","False","Manual","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","False","False","Diagnostic Execution Service","Normal","1077","C:\WINDOWS\System32\svchost.exe -k diagnostics","0","Share Process","LocalSystem","Stopped","0","0","False","0","0",
"Connected User Experiences and Telemetry","The Connected User Experiences and Telemetry service enables features that support in-application and connected user experiences. Additionally, this service manages the event driven collection and transmission of diagnostic and usage information (used to improve the experience and quality of the Windows Platform) when the diagnostics and usage privacy option settings are enabled under Feedback and Diagnostics.",,"DiagTrack","OK","Win32_Service","True","Auto","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","True","False","Connected User Experiences and Telemetry","Normal","0","C:\WINDOWS\System32\svchost.exe -k utcsvc -p","0","Own Process","LocalSystem","Running","0","0","False","5248","0",
"Display Policy Service","Manages the connection and configuration of local and remote displays",,"DispBrokerDesktopSvc","OK","Win32_Service","True","Auto","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","True","False","Display Policy Service","Normal","0","C:\WINDOWS\system32\svchost.exe -k LocalService -p","0","Share Process","NT AUTHORITY\LocalService","Running","0","0","True","2704","0",
"Display Enhancement Service","A service for managing display enhancement such as brightness control.",,"DisplayEnhancementService","OK","Win32_Service","True","Manual","Win32_ComputerSystem","LAPTOP-HD7OGIG6","False","True","False","Display Enhancement Service","Normal","0","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","0","Share Process","LocalSystem","Running","0","0","False","1648","0",
